Date,TCS.NS_Open,TCS.NS_High,TCS.NS_Low,TCS.NS_Close,TCS.NS_Volume,INFY.NS_Open,INFY.NS_High,INFY.NS_Low,INFY.NS_Close,INFY.NS_Volume,LTIM.NS_Open,LTIM.NS_High,LTIM.NS_Low,LTIM.NS_Close,LTIM.NS_Volume,TECHM.NS_Open,TECHM.NS_High,TECHM.NS_Low,TECHM.NS_Close,TECHM.NS_Volume,WIPRO.NS_Open,WIPRO.NS_High,WIPRO.NS_Low,WIPRO.NS_Close,WIPRO.NS_Volume,ACN_Open,ACN_High,ACN_Low,ACN_Close,ACN_Volume,CTSH_Open,CTSH_High,CTSH_Low,CTSH_Close,CTSH_Volume,BSOFT.NS_Open,BSOFT.NS_High,BSOFT.NS_Low,BSOFT.NS_Close,BSOFT.NS_Volume,SAGILITY.NS_Open,SAGILITY.NS_High,SAGILITY.NS_Low,SAGILITY.NS_Close,SAGILITY.NS_Volume,G_Open,G_High,G_Low,G_Close,G_Volume,LT.NS_Open,LT.NS_High,LT.NS_Low,LT.NS_Close,LT.NS_Volume,RELIANCE.NS_Open,RELIANCE.NS_High,RELIANCE.NS_Low,RELIANCE.NS_Close,RELIANCE.NS_Volume,TATASTEEL.NS_Open,TATASTEEL.NS_High,TATASTEEL.NS_Low,TATASTEEL.NS_Close,TATASTEEL.NS_Volume
2021-02-18,2694.371338409791,2723.292889441269,2664.482716711281,2687.646484375,4189909.0,1123.2886719085736,1149.6982801822862,1122.4083516327833,1137.7698974609375,6437551.0,3618.364038544331,3748.079471071139,3614.924531407636,3648.142578125,147042.0,824.2368774108918,852.3549378928316,823.8172048663853,848.2421264648438,6742595.0,198.77690566565863,201.71028842192817,198.3380620076863,200.00108337402344,16771472.0,238.71355783754788,241.05783331759142,237.88232451926356,240.61886596679688,1664300.0,70.69284269004353,70.69284269004353,69.09589264149416,69.46727752685547,4440800.0,229.21846373262753,231.8488424128349,227.33962386596664,227.9502410888672,514802.0,,,,,,37.72299777124016,38.2208349935046,37.63845903696765,37.6666374206543,2172200.0,1463.4590550093005,1471.9995373800043,1437.7902302755308,1446.7576904296875,2446843.0,945.4041756996926,956.014443525895,933.6602717704307,937.559814453125,18646877.0,60.261418423322645,61.20838225638018,59.74489329328884,60.06772232055664,148561470.0
2021-02-19,2688.218005804663,2713.8430196529025,2651.4285401198317,2700.393310546875,3725028.0,1140.9832860809256,1143.9763970305332,1123.9931662845765,1136.7578125,5389696.0,3698.7472939825993,3698.7472939825993,3588.491642161972,3600.412353515625,120226.0,850.8021366607074,855.460491476442,816.388989358459,834.2670288085938,4357699.0,200.09347999552762,201.29455185652913,196.83674073361217,198.61524963378906,16957332.0,241.3940455378072,241.4314123444081,237.37798315513734,237.4993896484375,2038400.0,69.66226124113459,69.81081804628913,68.13958940619229,68.3717041015625,4082500.0,228.1381560335735,229.54728605395528,221.7500970742938,223.8168182373047,980597.0,,,,,,37.73238442129952,37.82631832661947,37.178190504366306,37.253334045410156,2002000.0,1446.046041848975,1468.014084444369,1422.3224787519423,1431.7645263671875,3044240.0,932.7081388605912,954.4501576444582,931.030412526974,943.2730712890625,23403483.0,59.91707077343424,59.91707077343424,56.46925886048312,57.739051818847656,223923860.0
2021-02-22,2721.6218962319185,2721.6218962319185,2587.254915410718,2600.704833984375,5366696.0,1140.0149640340246,1151.9433489200894,1109.2037487898617,1113.7813720703125,7371303.0,3601.6845896404498,3632.735173461786,3557.3938581613547,3575.015869140625,63480.0,838.463793951111,848.5778921126747,790.5791664670247,797.9653930664062,5946290.0,198.9617153762764,199.95490428170748,192.17105003643596,193.41831970214844,21332174.0,236.00505634703782,237.3873289802902,233.57672684830695,235.9490203857422,1476000.0,68.01888434844943,68.67808915606665,67.56393449863025,68.00959777832031,3063800.0,224.52142125283345,225.41386754992632,212.12107784131715,217.75759887695312,1164548.0,,,,,,36.88700195069248,37.76995918962492,36.67095933637536,37.413021087646484,2115800.0,1433.7571913312122,1434.753511415308,1373.214615822233,1378.05419921875,6168108.0,943.1370313830363,947.6260001116775,904.5727145749872,910.5352783203125,23804335.0,57.928446723831236,60.08064043521756,57.751965263183806,58.93136978149414,281491090.0
2021-02-23,2610.8591395734493,2661.845614352998,2609.100985270706,2619.82568359375,3832829.0,1119.0190369500622,1136.4933713221178,1107.0467037947092,1114.79345703125,6612942.0,3581.7536848518516,3629.0127434570436,3533.834793031398,3538.12255859375,90928.0,799.0565760887523,808.0795363754688,781.4303280867946,793.8106689453125,4120032.0,193.88025748286796,196.79053439474276,191.38571830402284,191.9400634765625,17984706.0,234.94965240743113,240.89904083621596,234.0436997446438,239.27394104003906,2191300.0,67.6382164025065,68.17672416070039,66.91401973355921,67.66606903076172,3310500.0,214.42262567374084,225.4138373539899,213.24835061528663,221.1864471435547,1333126.0,,,,,,37.35665807507157,38.15507653110847,37.272119355226685,37.826316833496094,5688800.0,1387.3538601665439,1421.5157883238596,1385.4559752689154,1410.4132080078125,3733776.0,928.6272336757321,930.8490501461664,913.0291825324456,917.4954833984375,25644108.0,59.366109782514094,63.36058073398908,58.72906229117706,62.78379440307617,389070710.0
2021-02-24,2612.616787592777,2640.17593679513,2567.915637260526,2591.60693359375,3774549.0,1109.247550955885,1123.8167863141757,1102.1609301061992,1121.7921142578125,4537258.0,3569.974048680698,3604.511300223214,3487.6591691832987,3504.385986328125,50985.0,797.3777642320692,809.0446804321286,786.172528773893,805.8131713867188,1686531.0,192.95637195844728,196.69815279717952,191.59361486946796,195.45089721679688,10120594.0,236.49072780585303,243.27134997426634,236.12647980199742,242.15057373046875,2476300.0,67.22039805766383,69.690094029797,66.44048921980638,69.56939697265625,2922700.0,220.66974274426207,220.71671660911744,214.18775075772683,219.30758666992188,629936.0,,,,,,37.89206513771856,39.16953741138865,37.835704802158425,38.821990966796875,1396600.0,1410.7928096249032,1453.7799524656627,1410.7928096249032,1448.6556396484375,2380414.0,920.46551838717,936.4489852163127,918.7197882041789,934.5219116210938,10807663.0,63.27449678442551,64.1353742916966,61.98318052351887,62.646053314208984,216767890.0
2021-02-25,2614.3744975139684,2663.514806559369,2609.4955781742888,2633.098876953125,4224073.0,1134.2486958235556,1144.196358621312,1119.767469256633,1122.0123291015625,8788221.0,3514.9877732719133,3546.8394511182546,3430.175735847122,3445.724609375,251215.0,809.1286321988173,813.3253574695581,799.2663278125766,803.9246826171875,3682791.0,195.45087195842822,198.17637168658266,194.22670837941453,194.61935424804688,18220784.0,241.879714516497,242.0011067515101,235.90229416855271,237.02305603027344,2157700.0,68.81734390457837,69.61581875033704,67.95387724968005,68.13027954101562,2786500.0,221.13946417872504,224.05167193767545,217.00602187674227,217.89846801757812,737716.0,,,,,,38.55898163734273,39.17893102759843,38.305365489072884,38.88774490356445,2053500.0,1455.6778367887173,1461.9408343009702,1425.3116759169839,1429.534423828125,3168105.0,941.3232777095965,975.7840397521635,939.9629623775807,972.3153076171875,34855693.0,63.29170671987307,64.82407408552115,63.01192417808567,63.954586029052734,219015960.0
2021-02-26,2602.067563932443,2612.924249244175,2531.7414135558906,2544.312255859375,5553153.0,1117.1262813583749,1121.7920211837343,1095.7785175105098,1103.3052978515625,15132388.0,3416.0404933582167,3438.2330231285446,3364.2109134589887,3392.34033203125,240333.0,793.1811968005713,796.4126552586739,768.0008413465849,771.2322998046875,5254937.0,193.07184386202212,193.94954529570245,188.47543963387832,189.5379180908203,23463882.0,238.38666473270845,238.95638737750176,233.3151968862269,234.33322143554688,2712800.0,68.56666969731626,69.0216124511641,67.38753033183137,68.22314453125,3279800.0,216.5363216014829,216.5363216014829,211.65134020663996,213.15440368652344,557212.0,,,,,,39.019255424330936,39.225902867480706,37.769961249632146,37.98600387573242,1827900.0,1406.332714166757,1417.2455523671063,1361.8747834485264,1368.8494873046875,5579058.0,959.9139702500598,967.576928004242,938.9200542247918,945.7669067382812,37481215.0,62.41361962952603,63.842679452291755,61.217000413101324,61.56565475463867,235515910.0
2021-03-01,2572.17930535387,2606.4633083985727,2550.905684849813,2570.596923828125,3265871.0,1112.1087025290365,1130.7714503167083,1108.3232821710671,1115.3658447265625,5756286.0,3383.0575692253915,3482.1933606165203,3383.0575692253915,3400.067138671875,190862.0,785.1654456000314,803.2533236772587,777.5273738534501,785.6270751953125,3429569.0,189.8612894310276,193.4183070618344,189.0297857732827,191.43191528320312,12843392.0,237.22853984573587,242.64555809474794,237.22853984573587,241.11386108398438,1954700.0,68.80807113843093,69.78295555464871,68.52953070991805,69.4765625,3226900.0,215.12715691243116,217.89844274813285,209.49063751734562,211.65130615234375,448211.0,,,,,,38.465055580058774,38.831388862586884,38.211439403721116,38.286582946777344,1007400.0,1381.6601241199455,1410.128395908131,1364.7689031905443,1397.6497802734375,2494481.0,956.8307097723348,957.6469350488829,935.2020292571182,952.9765625,17680764.0,62.32752561792688,63.55427198285657,61.238516222853974,62.87848663330078,140586460.0
2021-03-02,2602.0674467537383,2659.207441361506,2591.518524672304,2642.812744140625,3306469.0,1128.7908013352219,1153.2196917521082,1126.1057812059096,1148.3779296875,10461434.0,3430.6938907753765,3669.5339527002384,3417.9249220451375,3611.86181640625,394399.0,792.7614724764951,815.0041183426963,790.6631096589289,811.7306518554688,3703190.0,193.88025260097777,200.07037441641484,193.21042004249063,198.82310485839844,29750468.0,241.11383439391804,243.87837916996023,240.13314824018238,242.11318969726562,2099800.0,69.66224530452995,70.30288398393813,68.74307330454447,69.58796691894531,3068900.0,214.18777466947012,224.70927652319315,212.16802726490462,222.78346252441406,1040771.0,,,,,,38.07993342372974,39.357405834407054,38.07993342372974,39.207115173339844,3657200.0,1403.7706252744706,1413.5921565529673,1383.7004691085065,1409.79638671875,2089473.0,962.1810822756376,965.8084897149365,947.263190026968,954.9261474609375,17150760.0,62.882795686875724,63.68341202810473,62.254358787186035,63.317543029785156,111133990.0
2021-03-03,2667.9984862818847,2693.4917172875435,2634.5055693546797,2689.184326171875,3509857.0,1161.3183891733065,1185.791334230148,1151.458845711235,1182.7542724609375,9056399.0,3645.03250460204,3738.325735717759,3629.0124548144922,3685.695068359375,232927.0,816.0114261714864,822.7261878742271,806.9884651334285,819.200927734375,3203532.0,200.024187825988,201.7103011394155,197.82992710503316,201.17906188964844,17564904.0,242.73896546279667,242.83236822800419,237.27524572842324,237.3966522216797,2114400.0,69.41156532927252,69.41156532927252,67.57321422661289,67.92603302001953,3406400.0,224.5683598421069,231.94279843767603,222.87740093023223,227.7154083251953,1319881.0,,,,,,39.16014740614671,39.16954258825427,38.098721153567304,38.11750793457031,1668300.0,1417.2454964503872,1432.903046293997,1405.7158229434622,1420.471923828125,2184001.0,961.7504524591252,1006.5721385998736,955.4704174620584,998.5010375976562,31924461.0,63.791021122510294,67.3636640435253,63.791021122510294,66.90309143066406,288428350.0
